country,year,emissions,kyoto_annexb,kyoto_adopted_year,continent,lifeExp,pop,gdpPercap
Angola,1989,5010,0,0,NA,NA,NA,NA
Angola,1990,5120,0,0,NA,NA,NA,NA
Angola,1991,5090,0,0,NA,NA,NA,NA
Angola,1992,5200,0,0,Africa,40.647,8735988,2627.845685
Angola,1993,5780,0,0,NA,NA,NA,NA
Angola,1994,3890,0,0,NA,NA,NA,NA
Angola,1995,11000,0,0,NA,NA,NA,NA
Angola,1996,10500,0,0,NA,NA,NA,NA
Angola,1997,7380,0,1,Africa,40.963,9875024,2277.140884
Angola,1998,7310,0,1,NA,NA,NA,NA
Angola,1999,9160,0,1,NA,NA,NA,NA
Angola,2000,9540,0,1,NA,NA,NA,NA
Angola,2001,9730,0,1,NA,NA,NA,NA
Angola,2002,12700,0,1,Africa,41.003,10866106,2773.287312
Angola,2003,9060,0,1,NA,NA,NA,NA
Angola,2004,18800,0,1,NA,NA,NA,NA
Angola,2005,19200,0,1,NA,NA,NA,NA
Angola,2006,22300,0,1,NA,NA,NA,NA
Angola,2007,25200,0,1,Africa,42.731,12420476,4797.231267
Angola,2008,25700,0,1,NA,NA,NA,NA
Angola,2009,27800,0,1,NA,NA,NA,NA
Angola,2010,29100,0,1,NA,NA,NA,NA
Angola,2011,30300,0,1,NA,NA,NA,NA
Antigua and Barbuda,1986,249,0,0,NA,NA,NA,NA
Antigua and Barbuda,1987,275,0,0,NA,NA,NA,NA
Antigua and Barbuda,1988,286,0,0,NA,NA,NA,NA
Antigua and Barbuda,1989,286,0,0,NA,NA,NA,NA
Antigua and Barbuda,1990,282,0,0,NA,NA,NA,NA
Antigua and Barbuda,1991,268,0,0,NA,NA,NA,NA
Antigua and Barbuda,1992,264,0,0,NA,NA,NA,NA
Antigua and Barbuda,1993,271,0,0,NA,NA,NA,NA
Antigua and Barbuda,1994,268,0,0,NA,NA,NA,NA
Antigua and Barbuda,1995,275,0,0,NA,NA,NA,NA
Antigua and Barbuda,1996,293,0,0,NA,NA,NA,NA
Antigua and Barbuda,1997,308,0,1,NA,NA,NA,NA
Antigua and Barbuda,1998,319,0,1,NA,NA,NA,NA
Antigua and Barbuda,1999,330,0,1,NA,NA,NA,NA
Antigua and Barbuda,2000,345,0,1,NA,NA,NA,NA
Antigua and Barbuda,2001,348,0,1,NA,NA,NA,NA
Antigua and Barbuda,2002,370,0,1,NA,NA,NA,NA
Antigua and Barbuda,2003,403,0,1,NA,NA,NA,NA
Antigua and Barbuda,2004,422,0,1,NA,NA,NA,NA
Antigua and Barbuda,2005,429,0,1,NA,NA,NA,NA
Antigua and Barbuda,2006,444,0,1,NA,NA,NA,NA
Antigua and Barbuda,2007,469,0,1,NA,NA,NA,NA
Antigua and Barbuda,2008,480,0,1,NA,NA,NA,NA
Antigua and Barbuda,2009,510,0,1,NA,NA,NA,NA
Antigua and Barbuda,2010,524,0,1,NA,NA,NA,NA
Antigua and Barbuda,2011,513,0,1,NA,NA,NA,NA
Argentina,1986,104000,0,0,NA,NA,NA,NA
Argentina,1987,115000,0,0,Americas,70.774,31620918,9139.671389
Argentina,1988,121000,0,0,NA,NA,NA,NA
Argentina,1989,117000,0,0,NA,NA,NA,NA
Argentina,1990,112000,0,0,NA,NA,NA,NA
Argentina,1991,117000,0,0,NA,NA,NA,NA
Argentina,1992,121000,0,0,Americas,71.868,33958947,9308.41871
Argentina,1993,118000,0,0,NA,NA,NA,NA
Argentina,1994,122000,0,0,NA,NA,NA,NA
Argentina,1995,128000,0,0,NA,NA,NA,NA
Argentina,1996,135000,0,0,NA,NA,NA,NA
Argentina,1997,138000,0,1,Americas,73.275,36203463,10967.28195
Argentina,1998,140000,0,1,NA,NA,NA,NA
Argentina,1999,147000,0,1,NA,NA,NA,NA
Argentina,2000,142000,0,1,NA,NA,NA,NA
Argentina,2001,134000,0,1,NA,NA,NA,NA
Argentina,2002,125000,0,1,Americas,74.34,38331121,8797.640716
Argentina,2003,135000,0,1,NA,NA,NA,NA
Argentina,2004,158000,0,1,NA,NA,NA,NA
Argentina,2005,162000,0,1,NA,NA,NA,NA
Argentina,2006,175000,0,1,NA,NA,NA,NA
Argentina,2007,175000,0,1,Americas,75.32,40301927,12779.37964
Argentina,2008,189000,0,1,NA,NA,NA,NA
Argentina,2009,180000,0,1,NA,NA,NA,NA
Argentina,2010,188000,0,1,NA,NA,NA,NA
Argentina,2011,192000,0,1,NA,NA,NA,NA
Armenia,1986,6730,0,0,NA,NA,NA,NA
Armenia,1987,7020,0,0,NA,NA,NA,NA
Armenia,1988,7210,0,0,NA,NA,NA,NA
Armenia,1989,7060,0,0,NA,NA,NA,NA
Armenia,1990,6620,0,0,NA,NA,NA,NA
Armenia,1991,6380,0,0,NA,NA,NA,NA
Armenia,1992,5830,0,0,NA,NA,NA,NA
Armenia,1993,2560,0,0,NA,NA,NA,NA
Armenia,1994,2710,0,0,NA,NA,NA,NA
Armenia,1995,3410,0,0,NA,NA,NA,NA
Armenia,1996,2560,0,0,NA,NA,NA,NA
Armenia,1997,3230,0,1,NA,NA,NA,NA
Armenia,1998,3360,0,1,NA,NA,NA,NA
Armenia,1999,3010,0,1,NA,NA,NA,NA
Armenia,2000,3470,0,1,NA,NA,NA,NA
Armenia,2001,3540,0,1,NA,NA,NA,NA
Armenia,2002,3040,0,1,NA,NA,NA,NA
Armenia,2003,3430,0,1,NA,NA,NA,NA
Armenia,2004,3640,0,1,NA,NA,NA,NA
Armenia,2005,4350,0,1,NA,NA,NA,NA
Armenia,2006,4380,0,1,NA,NA,NA,NA
Armenia,2007,5060,0,1,NA,NA,NA,NA
Armenia,2008,5560,0,1,NA,NA,NA,NA
Armenia,2009,4360,0,1,NA,NA,NA,NA
Armenia,2010,4220,0,1,NA,NA,NA,NA
Armenia,2011,4920,0,1,NA,NA,NA,NA
Australia,1986,240000,1,0,NA,NA,NA,NA
Australia,1987,256000,1,0,Oceania,76.32,16257249,21888.88903
Australia,1988,261000,1,0,NA,NA,NA,NA
Australia,1989,278000,1,0,NA,NA,NA,NA
Australia,1990,264000,1,0,NA,NA,NA,NA
Australia,1991,261000,1,0,NA,NA,NA,NA
Australia,1992,268000,1,0,Oceania,77.56,17481977,23424.76683
Australia,1993,277000,1,0,NA,NA,NA,NA
Australia,1994,278000,1,0,NA,NA,NA,NA
Australia,1995,282000,1,0,NA,NA,NA,NA
Australia,1996,302000,1,0,NA,NA,NA,NA
Australia,1997,306000,1,1,Oceania,78.83,18565243,26997.93657
Australia,1998,317000,1,1,NA,NA,NA,NA
Australia,1999,325000,1,1,NA,NA,NA,NA
Australia,2000,329000,1,1,NA,NA,NA,NA
Australia,2001,325000,1,1,NA,NA,NA,NA
Australia,2002,341000,1,1,Oceania,80.37,19546792,30687.75473
Australia,2003,336000,1,1,NA,NA,NA,NA
Australia,2004,343000,1,1,NA,NA,NA,NA
Australia,2005,350000,1,1,NA,NA,NA,NA
Australia,2006,365000,1,1,NA,NA,NA,NA
Australia,2007,372000,1,1,Oceania,81.235,20434176,34435.36744
Australia,2008,386000,1,1,NA,NA,NA,NA
Australia,2009,395000,1,1,NA,NA,NA,NA
Australia,2010,391000,1,1,NA,NA,NA,NA
Australia,2011,392000,1,1,NA,NA,NA,NA
Austria,1986,54100,1,0,NA,NA,NA,NA
Austria,1987,57700,1,0,Europe,74.94,7578903,23687.82607
Austria,1988,53300,1,0,NA,NA,NA,NA
Austria,1989,54100,1,0,NA,NA,NA,NA
Austria,1990,57700,1,0,NA,NA,NA,NA
Austria,1991,61600,1,0,NA,NA,NA,NA
Austria,1992,56700,1,0,Europe,76.04,7914969,27042.01868
Austria,1993,57100,1,0,NA,NA,NA,NA
Austria,1994,57100,1,0,NA,NA,NA,NA
Austria,1995,59800,1,0,NA,NA,NA,NA
Austria,1996,63200,1,0,NA,NA,NA,NA
Austria,1997,62700,1,1,Europe,77.51,8069876,29095.92066
Austria,1998,63700,1,1,NA,NA,NA,NA
Austria,1999,61900,1,1,NA,NA,NA,NA
Austria,2000,62300,1,1,NA,NA,NA,NA
Austria,2001,65900,1,1,NA,NA,NA,NA
Austria,2002,67100,1,1,Europe,78.98,8148312,32417.60769
Austria,2003,72200,1,1,NA,NA,NA,NA
Austria,2004,72400,1,1,NA,NA,NA,NA
Austria,2005,74200,1,1,NA,NA,NA,NA
Austria,2006,72200,1,1,NA,NA,NA,NA
Austria,2007,69700,1,1,Europe,79.829,8199783,36126.4927
Austria,2008,69000,1,1,NA,NA,NA,NA
Austria,2009,62700,1,1,NA,NA,NA,NA
Austria,2010,67500,1,1,NA,NA,NA,NA
Austria,2011,65000,1,1,NA,NA,NA,NA
Azerbaijan,1986,65000,0,0,NA,NA,NA,NA
Azerbaijan,1987,67700,0,0,NA,NA,NA,NA
Azerbaijan,1988,69600,0,0,NA,NA,NA,NA
Azerbaijan,1989,68100,0,0,NA,NA,NA,NA
Azerbaijan,1990,63900,0,0,NA,NA,NA,NA
Azerbaijan,1991,61600,0,0,NA,NA,NA,NA
Azerbaijan,1992,56200,0,0,NA,NA,NA,NA
Azerbaijan,1993,48500,0,0,NA,NA,NA,NA
Azerbaijan,1994,42000,0,0,NA,NA,NA,NA
Azerbaijan,1995,33300,0,0,NA,NA,NA,NA
Azerbaijan,1996,31300,0,0,NA,NA,NA,NA
Azerbaijan,1997,29800,0,1,NA,NA,NA,NA
Azerbaijan,1998,31700,0,1,NA,NA,NA,NA
Azerbaijan,1999,28600,0,1,NA,NA,NA,NA
Azerbaijan,2000,29500,0,1,NA,NA,NA,NA
Azerbaijan,2001,28800,0,1,NA,NA,NA,NA
Azerbaijan,2002,29600,0,1,NA,NA,NA,NA
Azerbaijan,2003,30600,0,1,NA,NA,NA,NA
Azerbaijan,2004,32100,0,1,NA,NA,NA,NA
Azerbaijan,2005,34300,0,1,NA,NA,NA,NA
Azerbaijan,2006,39200,0,1,NA,NA,NA,NA
Azerbaijan,2007,30500,0,1,NA,NA,NA,NA
Azerbaijan,2008,35500,0,1,NA,NA,NA,NA
Azerbaijan,2009,31900,0,1,NA,NA,NA,NA
Azerbaijan,2010,30700,0,1,NA,NA,NA,NA
Azerbaijan,2011,33400,0,1,NA,NA,NA,NA
Bahamas,1986,1410,0,0,NA,NA,NA,NA
Bahamas,1987,1420,0,0,NA,NA,NA,NA
Bahamas,1988,1540,0,0,NA,NA,NA,NA
Bahamas,1989,1950,0,0,NA,NA,NA,NA
Bahamas,1990,1950,0,0,NA,NA,NA,NA
Bahamas,1991,1780,0,0,NA,NA,NA,NA
Bahamas,1992,1790,0,0,NA,NA,NA,NA
Bahamas,1993,1700,0,0,NA,NA,NA,NA
Bahamas,1994,1690,0,0,NA,NA,NA,NA
Bahamas,1995,1680,0,0,NA,NA,NA,NA
Bahamas,1996,1670,0,0,NA,NA,NA,NA
Bahamas,1997,1360,0,1,NA,NA,NA,NA
Bahamas,1998,1680,0,1,NA,NA,NA,NA
Bahamas,1999,1680,0,1,NA,NA,NA,NA
Bahamas,2000,1670,0,1,NA,NA,NA,NA
Bahamas,2001,1570,0,1,NA,NA,NA,NA
Bahamas,2002,1580,0,1,NA,NA,NA,NA
Bahamas,2003,1520,0,1,NA,NA,NA,NA
Bahamas,2004,1720,0,1,NA,NA,NA,NA
Bahamas,2005,1740,0,1,NA,NA,NA,NA
Bahamas,2006,1660,0,1,NA,NA,NA,NA
Bahamas,2007,1690,0,1,NA,NA,NA,NA
Bahamas,2008,1500,0,1,NA,NA,NA,NA
Bahamas,2009,1640,0,1,NA,NA,NA,NA
Bahamas,2010,1650,0,1,NA,NA,NA,NA
Bahamas,2011,1870,0,1,NA,NA,NA,NA
Bahrain,1986,11000,0,0,NA,NA,NA,NA
Bahrain,1987,11400,0,0,Asia,70.75,454612,18524.02406
Bahrain,1988,12200,0,0,NA,NA,NA,NA
Bahrain,1989,11700,0,0,NA,NA,NA,NA
Bahrain,1990,12400,0,0,NA,NA,NA,NA
Bahrain,1991,11900,0,0,NA,NA,NA,NA
Bahrain,1992,10900,0,0,Asia,72.601,529491,19035.57917
Bahrain,1993,14600,0,0,NA,NA,NA,NA
Bahrain,1994,14800,0,0,NA,NA,NA,NA
Bahrain,1995,14800,0,0,NA,NA,NA,NA
Bahrain,1996,15600,0,0,NA,NA,NA,NA
Bahrain,1997,17300,0,1,Asia,73.925,598561,20292.01679
Bahrain,1998,18400,0,1,NA,NA,NA,NA
Bahrain,1999,18000,0,1,NA,NA,NA,NA
Bahrain,2000,18600,0,1,NA,NA,NA,NA
Bahrain,2001,13900,0,1,NA,NA,NA,NA
Bahrain,2002,15700,0,1,Asia,74.795,656397,23403.55927
Bahrain,2003,16500,0,1,NA,NA,NA,NA
Bahrain,2004,17500,0,1,NA,NA,NA,NA
Bahrain,2005,19200,0,1,NA,NA,NA,NA
Bahrain,2006,18800,0,1,NA,NA,NA,NA
Bahrain,2007,26800,0,1,Asia,75.635,708573,29796.04834
Bahrain,2008,29800,0,1,NA,NA,NA,NA
Bahrain,2009,28200,0,1,NA,NA,NA,NA
Bahrain,2010,29300,0,1,NA,NA,NA,NA
Bahrain,2011,28700,0,1,NA,NA,NA,NA
Bangladesh,1986,11500,0,0,NA,NA,NA,NA
Bangladesh,1987,11900,0,0,Asia,52.819,103764241,751.9794035
Bangladesh,1988,13500,0,0,NA,NA,NA,NA
Bangladesh,1989,13500,0,0,NA,NA,NA,NA
Bangladesh,1990,15500,0,0,NA,NA,NA,NA
Bangladesh,1991,15900,0,0,NA,NA,NA,NA
Bangladesh,1992,17700,0,0,Asia,56.018,113704579,837.8101643
Bangladesh,1993,17400,0,0,NA,NA,NA,NA
Bangladesh,1994,19000,0,0,NA,NA,NA,NA
Bangladesh,1995,22800,0,0,NA,NA,NA,NA
Bangladesh,1996,24000,0,0,NA,NA,NA,NA
Bangladesh,1997,25100,0,1,Asia,59.412,123315288,972.7700352
Bangladesh,1998,24000,0,1,NA,NA,NA,NA
Bangladesh,1999,25200,0,1,NA,NA,NA,NA
Bangladesh,2000,27900,0,1,NA,NA,NA,NA
Bangladesh,2001,32500,0,1,NA,NA,NA,NA
Bangladesh,2002,33700,0,1,Asia,62.013,135656790,1136.39043
Bangladesh,2003,35700,0,1,NA,NA,NA,NA
Bangladesh,2004,37700,0,1,NA,NA,NA,NA
Bangladesh,2005,39500,0,1,NA,NA,NA,NA
Bangladesh,2006,43500,0,1,NA,NA,NA,NA
Bangladesh,2007,44400,0,1,Asia,64.062,150448339,1391.253792
Bangladesh,2008,49500,0,1,NA,NA,NA,NA
Bangladesh,2009,53700,0,1,NA,NA,NA,NA
Bangladesh,2010,59900,0,1,NA,NA,NA,NA
Bangladesh,2011,63400,0,1,NA,NA,NA,NA
Barbados,1986,917,0,0,NA,NA,NA,NA
Barbados,1987,942,0,0,NA,NA,NA,NA
Barbados,1988,946,0,0,NA,NA,NA,NA
Barbados,1989,990,0,0,NA,NA,NA,NA
Barbados,1990,1070,0,0,NA,NA,NA,NA
Barbados,1991,1210,0,0,NA,NA,NA,NA
Barbados,1992,979,0,0,NA,NA,NA,NA
Barbados,1993,1110,0,0,NA,NA,NA,NA
Barbados,1994,748,0,0,NA,NA,NA,NA
Barbados,1995,829,0,0,NA,NA,NA,NA
Barbados,1996,851,0,0,NA,NA,NA,NA
Barbados,1997,902,0,1,NA,NA,NA,NA
Barbados,1998,1140,0,1,NA,NA,NA,NA
Barbados,1999,1210,0,1,NA,NA,NA,NA
Barbados,2000,1190,0,1,NA,NA,NA,NA
Barbados,2001,1220,0,1,NA,NA,NA,NA
Barbados,2002,1230,0,1,NA,NA,NA,NA
Barbados,2003,1270,0,1,NA,NA,NA,NA
Barbados,2004,1290,0,1,NA,NA,NA,NA
Barbados,2005,1350,0,1,NA,NA,NA,NA
Barbados,2006,1370,0,1,NA,NA,NA,NA
Barbados,2007,1360,0,1,NA,NA,NA,NA
Barbados,2008,1620,0,1,NA,NA,NA,NA
Barbados,2009,1620,0,1,NA,NA,NA,NA
Barbados,2010,1480,0,1,NA,NA,NA,NA
Barbados,2011,1530,0,1,NA,NA,NA,NA
Belarus,1986,101000,0,0,NA,NA,NA,NA
Belarus,1987,105000,0,0,NA,NA,NA,NA
Belarus,1988,108000,0,0,NA,NA,NA,NA
Belarus,1989,106000,0,0,NA,NA,NA,NA
Belarus,1990,99300,0,0,NA,NA,NA,NA
Belarus,1991,95700,0,0,NA,NA,NA,NA
Belarus,1992,87400,0,0,NA,NA,NA,NA
Belarus,1993,76800,0,0,NA,NA,NA,NA
Belarus,1994,65100,0,0,NA,NA,NA,NA
Belarus,1995,60800,0,0,NA,NA,NA,NA
Belarus,1996,60200,0,0,NA,NA,NA,NA
Belarus,1997,59600,0,1,NA,NA,NA,NA
Belarus,1998,58100,0,1,NA,NA,NA,NA
Belarus,1999,56100,0,1,NA,NA,NA,NA
Belarus,2000,53800,0,1,NA,NA,NA,NA
Belarus,2001,52800,0,1,NA,NA,NA,NA
Belarus,2002,52400,0,1,NA,NA,NA,NA
Belarus,2003,53500,0,1,NA,NA,NA,NA
Belarus,2004,58200,0,1,NA,NA,NA,NA
Belarus,2005,59200,0,1,NA,NA,NA,NA
Belarus,2006,62100,0,1,NA,NA,NA,NA
Belarus,2007,60500,0,1,NA,NA,NA,NA
Belarus,2008,63100,0,1,NA,NA,NA,NA
Belarus,2009,61200,0,1,NA,NA,NA,NA
Belarus,2010,63000,0,1,NA,NA,NA,NA
Belarus,2011,64100,0,1,NA,NA,NA,NA
Belgium,1986,103000,1,0,NA,NA,NA,NA
Belgium,1987,103000,1,0,Europe,75.35,9870200,22525.56308
Belgium,1988,100000,1,0,NA,NA,NA,NA
Belgium,1989,107000,1,0,NA,NA,NA,NA
Belgium,1990,106000,1,0,NA,NA,NA,NA
Belgium,1991,111000,1,0,NA,NA,NA,NA
Belgium,1992,112000,1,0,Europe,76.46,10045622,25575.57069
Belgium,1993,108000,1,0,NA,NA,NA,NA
Belgium,1994,112000,1,0,NA,NA,NA,NA
Belgium,1995,112000,1,0,NA,NA,NA,NA
Belgium,1996,118000,1,0,NA,NA,NA,NA
Belgium,1997,115000,1,1,Europe,77.53,10199787,27561.19663
Belgium,1998,118000,1,1,NA,NA,NA,NA
Belgium,1999,114000,1,1,NA,NA,NA,NA
Belgium,2000,115000,1,1,NA,NA,NA,NA
Belgium,2001,115000,1,1,NA,NA,NA,NA
Belgium,2002,107000,1,1,Europe,78.32,10311970,30485.88375
Belgium,2003,113000,1,1,NA,NA,NA,NA
Belgium,2004,111000,1,1,NA,NA,NA,NA
Belgium,2005,109000,1,1,NA,NA,NA,NA
Belgium,2006,107000,1,1,NA,NA,NA,NA
Belgium,2007,104000,1,1,Europe,79.441,10392226,33692.60508
Belgium,2008,104000,1,1,NA,NA,NA,NA
Belgium,2009,99900,1,1,NA,NA,NA,NA
Belgium,2010,111000,1,1,NA,NA,NA,NA
Belgium,2011,99900,1,1,NA,NA,NA,NA
Belize,1986,205,0,0,NA,NA,NA,NA
Belize,1987,227,0,0,NA,NA,NA,NA
Belize,1988,249,0,0,NA,NA,NA,NA
Belize,1989,301,0,0,NA,NA,NA,NA
Belize,1990,312,0,0,NA,NA,NA,NA
Belize,1991,359,0,0,NA,NA,NA,NA
Belize,1992,356,0,0,NA,NA,NA,NA
Belize,1993,378,0,0,NA,NA,NA,NA
Belize,1994,374,0,0,NA,NA,NA,NA
Belize,1995,378,0,0,NA,NA,NA,NA
Belize,1996,308,0,0,NA,NA,NA,NA
Belize,1997,389,0,1,NA,NA,NA,NA
Belize,1998,370,0,1,NA,NA,NA,NA
Belize,1999,348,0,1,NA,NA,NA,NA
Belize,2000,396,0,1,NA,NA,NA,NA
Belize,2001,447,0,1,NA,NA,NA,NA
Belize,2002,433,0,1,NA,NA,NA,NA
Belize,2003,433,0,1,NA,NA,NA,NA
Belize,2004,392,0,1,NA,NA,NA,NA
Belize,2005,422,0,1,NA,NA,NA,NA
Belize,2006,444,0,1,NA,NA,NA,NA
Belize,2007,477,0,1,NA,NA,NA,NA
Belize,2008,436,0,1,NA,NA,NA,NA
Belize,2009,587,0,1,NA,NA,NA,NA
Belize,2010,539,0,1,NA,NA,NA,NA
Belize,2011,601,0,1,NA,NA,NA,NA
Benin,1986,686,0,0,NA,NA,NA,NA
Benin,1987,539,0,0,Africa,52.337,4243788,1225.85601
Benin,1988,554,0,0,NA,NA,NA,NA
Benin,1989,631,0,0,NA,NA,NA,NA
Benin,1990,708,0,0,NA,NA,NA,NA
Benin,1991,821,0,0,NA,NA,NA,NA
Benin,1992,898,0,0,Africa,53.919,4981671,1191.207681
Benin,1993,1130,0,0,NA,NA,NA,NA
Benin,1994,1270,0,0,NA,NA,NA,NA
Benin,1995,1330,0,0,NA,NA,NA,NA
Benin,1996,1270,0,0,NA,NA,NA,NA
Benin,1997,1220,0,1,Africa,54.777,6066080,1232.975292
Benin,1998,1210,0,1,NA,NA,NA,NA
Benin,1999,1560,0,1,NA,NA,NA,NA
Benin,2000,1600,0,1,NA,NA,NA,NA
Benin,2001,1820,0,1,NA,NA,NA,NA
Benin,2002,2080,0,1,Africa,54.406,7026113,1372.877931
Benin,2003,2350,0,1,NA,NA,NA,NA
Benin,2004,2510,0,1,NA,NA,NA,NA
Benin,2005,2390,0,1,NA,NA,NA,NA
Benin,2006,3870,0,1,NA,NA,NA,NA
Benin,2007,4500,0,1,Africa,56.728,8078314,1441.284873
Benin,2008,4410,0,1,NA,NA,NA,NA
Benin,2009,4660,0,1,NA,NA,NA,NA
Benin,2010,5090,0,1,NA,NA,NA,NA
Benin,2011,5300,0,1,NA,NA,NA,NA
Bhutan,1986,55,0,0,NA,NA,NA,NA
Bhutan,1987,103,0,0,NA,NA,NA,NA
Bhutan,1988,110,0,0,NA,NA,NA,NA
